LGA_name,population,age_group
Bayside,55996,all_females
Boroondara,94592,all_females
Brimbank,102508,all_females
Hobsons Bay,48513,all_males
Manningham,62773,all_males
Maribyrnong,46730,all_females
Moonee Valley,67591,all_females
Moreland,95507,all_females
Port Phillip,57268,all_males
Stonnington,61587,all_females
Yarra,52070,all_females
Banyule,67369,all_females
Banyule,64571,all_males
Boroondara,88431,all_males
Darebin,85116,all_females
Darebin,81314,all_males
Manningham,66156,all_females
Maribyrnong,48252,all_males
Melbourne,90823,all_males
Moonee Valley,64162,all_males
Stonnington,57027,all_males
Yarra,51055,all_males
Bayside,51545,all_males
Brimbank,105739,all_males
Glen Eira,81112,all_females
Glen Eira,77104,all_males
Hobsons Bay,49676,all_females
Melbourne,92933,all_females
Moreland,93255,all_males
Port Phillip,59208,all_females
